isoname	gene	tpm
AAAS-201	AAAS	65.9701
AAAS-202	AAAS	2.36707e-09
AAAS-208	AAAS	5.75996
AAAS-212	AAAS	3.13615
AAAS-217	AAAS	1.78379
AAGAB-201	AAGAB	17.2841
AAGAB-203	AAGAB	26.3845
AAK1-201	AAK1	1.62501
AAK1-203	AAK1	0.632271
AAK1-211	AAK1	11.6376
AAK1-212	AAK1	7.26477
AAMP-201	AAMP	75.6531
AAMP-202	AAMP	1.78757
AAMP-204	AAMP	11.9719
AAR2-201	AAR2	38.771
AARS1-201	AARS1	62.6953
AARS1-203	AARS1	1.51723
AARS1-217	AARS1	0
AARS1-231	AARS1	0.243116
AARS2-201	AARS2	21.2133
AASDH-201	AASDH	1.24406
AASDH-202	AASDH	0.530524
AASDH-203	AASDH	1.59967
AASDH-207	AASDH	1.90094
AASDH-210	AASDH	1.62322
AASDHPPT-201	AASDHPPT	54.6509
AATF-208	AATF	73.5145
ABCA13-204	ABCA13	0
ABCA13-207	ABCA13	0.00702027
ABCA2-201	ABCA2	1.76612e-10
ABCA2-202	ABCA2	1.35987
ABCA2-203	ABCA2	0.536763
ABCA2-217	ABCA2	1.96237
ABCA2-218	ABCA2	0.317671
ABCA2-219	ABCA2	0
ABCA2-223	ABCA2	0.000130313
ABCA5-201	ABCA5	0.257214
ABCA5-204	ABCA5	0.549437
ABCA5-213	ABCA5	0.16985
ABCB10-201	ABCB10	39.5243
ABCB6-201	ABCB6	6.26815
ABCB6-202	ABCB6	0
ABCB6-203	ABCB6	1.19206
ABCB6-205	ABCB6	3.73659
ABCC1-202	ABCC1	60.2646
ABCC1-204	ABCC1	3.34718e-06
ABCC11-201	ABCC11	0.0469274
ABCC11-202	ABCC11	0
ABCC9-201	ABCC9	1.39021
ABCC9-202	ABCC9	0
ABCC9-205	ABCC9	0
ABCD3-202	ABCD3	55.6704
ABCD3-207	ABCD3	0.182529
ABCE1-201	ABCE1	130.173
ABCF2-201	ABCF2	34.8837
ABCF2-H2BE1-201	ABCF2-H2BE1	48.6405
ABHD13-201	ABHD13	12.8706
ABHD14A-201	ABHD14A	7.57585
ABHD14A-202	ABHD14A	0.81786
ABHD14B-201	ABHD14B	1.73932
ABHD14B-202	ABHD14B	10.2249
ABHD17B-201	ABHD17B	34.5215
ABHD17B-202	ABHD17B	15.3476
ABI1-202	ABI1	0
ABI1-203	ABI1	0.968609
ABI1-204	ABI1	0.946377
ABI1-205	ABI1	1.19576e-06
